conversation_id,intent,confidence,first_detected_at
91d38046-fbf1-4d01-b93c-966df0b33d7a,Request Information,0.9039,2026-08-30T05:21:55.639121+00:00
95b73211-8afb-4faa-b00d-ab2333f187d0,Request Information,0.6434,2026-08-30T07:16:50.829238+00:00
a6acf5ec-bb64-458c-a4a8-ee7c66376122,Resolve Problem or Incident,0.36,2026-08-31T07:50:33.851013+00:00
a92299ba-18b3-45fe-8284-0dbed04d2bc5,Request Information,0.9609,2026-08-30T06:04:20.470958+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Request Information,0.8515,2026-08-30T09:37:39.297768+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Report Emergency,0.2653,2026-08-30T11:08:30.747862+00:00
add7ad79-6771-475a-a628-e06875fe7ddb,Request Information,0.9236,2026-08-30T01:43:36.354943+00:00
add7ad79-6771-475a-a628-e06875fe7ddb,Active Navigation Help,0.4816,2026-08-30T01:51:57.263256+00:00
b9e1f22c-8304-4faf-9fab-2531213a42d3,Report Emergency,0.2568,2026-08-30T03:26:31.620730+00:00
bad92a26-5459-4257-9f50-146922258226,Request Information,0.956,2026-08-30T03:22:58.424283+00:00
bb72cd0b-5ce6-4344-b977-5c3484776543,Request Information,0.9118,2026-08-30T16:58:03.202690+00:00
c03bd6cd-fece-4a64-8485-f1e07ad8da6c,Request Information,0.8804,2026-08-30T06:31:20.926368+00:00
c03bd6cd-fece-4a64-8485-f1e07ad8da6c,Active Navigation Help,0.8685,2026-08-31T08:28:04.582065+00:00
c21900ef-ec65-4aeb-a2f0-fea68d05cc03,Request Information,0.9458,2026-08-30T07:46:53.141283+00:00
c349ed13-2dbf-47f7-b276-2f78e5c181fb,Operate System,0.2847,2026-08-30T06:53:51.879020+00:00
cc1e82f2-5fbd-4807-9db0-ca1991a91892,Perform Transaction / Change,0.4822,2026-08-30T03:44:27.822933+00:00
cc1e82f2-5fbd-4807-9db0-ca1991a91892,Active Navigation Help,0.6843,2026-08-30T03:47:06.987152+00:00
cc1e82f2-5fbd-4807-9db0-ca1991a91892,Request Information,0.5085,2026-08-30T03:57:52.259693+00:00
d31327b8-7e61-4a66-b5fc-e0e14c4459b2,Request Information,0.9338,2026-08-30T08:28:15.834458+00:00
d4a03a5c-6bb4-4463-bd44-a0b98e3f5917,Request Information,0.73,2026-08-31T05:44:58.331888+00:00
d737a68f-037f-43e6-a08b-e70cc73e439f,Request Information,0.645,2026-08-30T08:31:59.695746+00:00
d737a68f-037f-43e6-a08b-e70cc73e439f,Operate System,0.2753,2026-08-30T10:32:26.309315+00:00
d737a68f-037f-43e6-a08b-e70cc73e439f,Resolve Problem or Incident,0.4823,2026-08-30T11:05:10.586848+00:00
da03690a-e0c2-4b7f-9818-f5a77e67ef75,Request Information,0.7038,2026-08-30T07:32:11.068948+00:00
dae835f6-49f4-4624-9985-4238505f6d1f,Request Information,0.8919,2026-08-30T01:31:54.861417+00:00
e69e4a97-f37d-4abd-9e7b-777d958f4833,Request Information,0.6878,2026-08-30T12:49:25.623247+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Request Information,0.5795,2026-08-30T08:29:24.398190+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Perform Transaction / Change,0.5242,2026-08-30T08:32:50.486156+00:00
ed0148ca-75d0-4456-a201-f2331528ecb5,Request Information,0.8868,2026-08-30T14:50:13.175247+00:00
ed4c7633-1163-46f1-8bb0-0e372819a6b2,Request Information,0.8333,2026-08-30T05:43:20.835072+00:00
f19753cb-cc7e-40a7-a766-fd8f5ad0ff5c,Operate System,0.6799,2026-08-30T10:00:50.885446+00:00
f71d2e2b-7b2f-4834-b4ac-c79aaf5c16ed,Resolve Problem or Incident,0.2677,2026-08-30T07:14:15.903519+00:00
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,Active Navigation Help,0.5504,2026-08-30T00:01:54.223184+00:00
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,Request Information,0.4849,2026-08-30T00:02:44.347333+00:00
fb418a67-4a0a-4be2-b590-4f523c1de981,Operate System,0.2994,2026-08-30T07:48:09.443717+00:00
fb418a67-4a0a-4be2-b590-4f523c1de981,Request Information,0.7636,2026-08-30T07:49:25.352976+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Request Information,0.795,2026-08-30T11:09:44.193768+00:00
